"GRANT NUMBER","BUDGET ENTITY","HEAD OF ACCOUNT","HEAD DESCRIPTION","HEAD DESCRIPTION ASSAMESE","Major Head","Sub-Major Head","Minor Head","Sub-Minor Head","Detailed Head","Object Head","Voucher Head","Scheme","Area","Voted_Charged","Actuals_2016_17","Budget_Estimates_2017_18","Revised_Estimates_2017_18","Budget_Estimates_2018_19"
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-03-00-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Voted",72.61,155,155,0
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-04-03-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Office Expenses$Electricity and Water Charge","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$কাৰ্য্যালয় ব্যয়$বিদ্যুৎ আৰু পানীৰ মাচুল","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Office Expenses","Electricity and Water Charge","Establishmet Expenditure","General Area","Voted",0,125,125,200
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-01-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",4802.5,2924.61339,2924.61339,5741.9256
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-02-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Voted",0,4386.92009,4386.92009,1850
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-05-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Voted",0,35,35,36
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-06-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,78,78,86
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-08-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,35,35,35
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-12-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Arrear Salary/DA","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$বকেয়া দৰমহা /মৰগীয়া বানচ","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Arrear Salary/DA","Establishmet Expenditure","General Area","Voted",0,0.1,0.1,10
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-02-99-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Wages$Others","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$মজুৰি$অন্যান্য","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Wages","Others","Establishmet Expenditure","General Area","Voted",53.46,70,70,80
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-03-00-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Voted",49.45,95,95,0
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-04-03-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Office Expenses$Electricity and Water Charge","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$কাৰ্য্যালয় ব্যয়$বিদ্যুৎ আৰু পানীৰ মাচুল","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Office Expenses","Electricity and Water Charge","Establishmet Expenditure","General Area","Voted",0,100,100,100
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-04-99-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Office Expenses$Others","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$কাৰ্য্যালয় ব্যয়$অন্যান্য","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Office Expenses","Others","Establishmet Expenditure","General Area","Voted",0,0,50,1
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-06-01-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Rents, Rates & Taxes / Royalty$Rents for Hired Building","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$ভাড়া, নিৰিখ আৰু কৰ/ ৰয়েল্টি$ঘৰ ভাড়াৰ নিৰিখ","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Rents, Rates & Taxes / Royalty","Rents for Hired Building","Establishmet Expenditure","General Area","Voted",8.72,35,35,35
"3 - Administration of justice","Guwahati High Court (R)","2041-00-800-3880-000-01-01-EE-GA-V","Taxes on Vehicles$NULL$Other Expenditure$Motor Accident Claim$NULL$Salaries$Pay","যান বাহনৰ ওপৰত কৰ$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$দৰমহা","Taxes on Vehicles","NULL","Other Expenditure","Motor Accident Claim","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",503.5,296.09944,296.09944,565
"3 - Administration of justice","Guwahati High Court (R)","2041-00-800-3880-000-01-02-EE-GA-V","Taxes on Vehicles$NULL$Other Expenditure$Motor Accident Claim$NULL$Salaries$Dearness Allowance","যান বাহনৰ ওপৰত কৰ$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Taxes on Vehicles","NULL","Other Expenditure","Motor Accident Claim","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Voted",0,444.14916,444.14916,220
"3 - Administration of justice","Guwahati High Court (R)","2041-00-800-3880-000-01-05-EE-GA-V","Taxes on Vehicles$NULL$Other Expenditure$Motor Accident Claim$NULL$Salaries$Leave Travel Concession","যান বাহনৰ ওপৰত কৰ$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Taxes on Vehicles","NULL","Other Expenditure","Motor Accident Claim","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Voted",0,8.8,8.8,9
"3 - Administration of justice","Guwahati High Court (R)","2041-00-800-3880-000-01-08-EE-GA-V","Taxes on Vehicles$NULL$Other Expenditure$Motor Accident Claim$NULL$Salaries$Medical Reimbursement","যান বাহনৰ ওপৰত কৰ$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Taxes on Vehicles","NULL","Other Expenditure","Motor Accident Claim","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,8.8,8.8,9
"3 - Administration of justice","Guwahati High Court (R)","2041-00-800-3880-000-03-00-EE-GA-V","Taxes on Vehicles$NULL$Other Expenditure$Motor Accident Claim$NULL$Travel Expenses$NULL","যান বাহনৰ ওপৰত কৰ$NULL$অন্যান্য ব্যয়$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Taxes on Vehicles","NULL","Other Expenditure","Motor Accident Claim","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Voted",4.5,15,15,0
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0304-000-01-99-EE-GA-C","Administration of Justice$NULL$High Courts$Judges$NULL$Salaries$Others","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$দৰমহা$অন্যান্য","Administration of Justice","NULL","High Courts","Judges","NULL","Salaries","Others","Establishmet Expenditure","General Area","Charged",0,0,0,70
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0304-000-01-07-EE-GA-C","Administration of Justice$NULL$High Courts$Judges$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","High Courts","Judges","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Charged",0,66.24,66.24,66.24
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-01-99-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Salaries$Others","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$দৰমহা$অন্যান্য","Administration of Justice","NULL","High Courts","Establishment","NULL","Salaries","Others","Establishmet Expenditure","General Area","Charged",0,6,6,5.90429
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-01-06-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","High Courts","Establishment","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Charged",0,60.816,60.816,60.81613
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-01-07-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","High Courts","Establishment","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Charged",0,203.77539,203.77539,229.44432
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-06-02-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Rents, Rates & Taxes / Royalty$Rates &Taxes","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$ভাড়া, নিৰিখ আৰু কৰ/ ৰয়েল্টি$ভাড়া আৰু কৰ","Administration of Justice","NULL","High Courts","Establishment","NULL","Rents, Rates & Taxes / Royalty","Rates &Taxes","Establishmet Expenditure","General Area","Charged",0,5.5,5.5,6
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-06-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,140,140,150
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-07-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,540,540,570
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-99-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Others","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$অন্যান্য","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Others","Establishmet Expenditure","General Area","Voted",0,0,0,0.1
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-07-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,185,185,205
"3 - Administration of justice","Guwahati High Court (R)","2041-00-800-3880-000-01-06-EE-GA-V","Taxes on Vehicles$NULL$Other Expenditure$Motor Accident Claim$NULL$Salaries$Medical Allowance","যান বাহনৰ ওপৰত কৰ$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Taxes on Vehicles","NULL","Other Expenditure","Motor Accident Claim","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,13.2,13.2,15
"3 - Administration of justice","Guwahati High Court (R)","2041-00-800-3880-000-01-07-EE-GA-V","Taxes on Vehicles$NULL$Other Expenditure$Motor Accident Claim$NULL$Salaries$House Rent Allowance","যান বাহনৰ ওপৰত কৰ$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Taxes on Vehicles","NULL","Other Expenditure","Motor Accident Claim","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,35,35,40
"3 - Administration of justice","Guwahati High Court (R)","2041-00-800-3880-000-01-12-EE-GA-V","Taxes on Vehicles$NULL$Other Expenditure$Motor Accident Claim$NULL$Salaries$Arrear Salary/DA","যান বাহনৰ ওপৰত কৰ$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$বকেয়া দৰমহা /মৰগীয়া বানচ","Taxes on Vehicles","NULL","Other Expenditure","Motor Accident Claim","NULL","Salaries","Arrear Salary/DA","Establishmet Expenditure","General Area","Voted",0,0.1,0.1,0.5
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-01-EE-KN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Pay","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,83.03664,83.03664,190
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-02-EE-KN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,120.2544,120.2544,30
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-99-EE-KN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Others","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$অন্যান্য","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Others","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,2,2,0
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-05-EE-KN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,2.5,2.5,3
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-06-EE-KN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Medical Allowance","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,5.226,5.226,5.5
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-07-EE-KN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,10.61971,10.61971,11
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-08-EE-KN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,2.5,2.5,3
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-03-00-EE-KN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Travel Expenses","NULL","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,6,6,0
